Chemical Name,CAS Number,Country Code,Country Name,Sample Source Code,Sample Source Name,Concentration Value,Unit of Measure,Sampling Date,LOD,LOQ,Media,Sampling Matrix,Level of Aggregation,Statistic Name,Number of Samples,Samples Below LOQ,Confidence Interval,Position,Latitude,Longitude,Location Name,Target Population,Adjusted For,Concentration Value (unadjusted),Confidence Interval (unadjusted),IPCheM QC,PulledDate,FileName,QA_Concerns
cotinine,486-56-6,ESP,Spain,ESP,NA,8.781,µg/g crt,2011/09/01-2012/04/24,NA,0.1,Human (Urine),urine,statistic,Geometric Mean,118,1.70%,5.121-15.057,representative,NA,NA,NA,mothers,age,7.791,4.562-13.305,NA,2020,Democophes_Aggregate.csv,
cotinine,486-56-6,HUN,Hungary,HUN,NA,6.054,µg/g crt,2011/09/01-2012/04/24,NA,0.3,Human (Urine),urine,statistic,Geometric Mean,115,0.00%,3.544-10.342,representative,NA,NA,NA,mothers,age,6.396,3.745-10.923,NA,2020,Democophes_Aggregate.csv,
cotinine,486-56-6,IRL,Ireland,IRL,NA,3.373,µg/g crt,2011/09/01-2012/04/24,NA,0.48,Human (Urine),urine,statistic,Geometric Mean,120,52.50%,1.977-5.755,representative,NA,NA,NA,mothers,age,3.281,1.921-5.603,NA,2020,Democophes_Aggregate.csv,
cotinine,486-56-6,LUX,Luxembourg,LUX,NA,0.56,µg/g crt,2011/09/01-2012/04/24,NA,0.59,Human (Urine),urine,statistic,Geometric Mean,56,83.90%,0.262-1.199,representative,NA,NA,NA,mothers,age,0.505,0.237-1.076,NA,2020,Democophes_Aggregate.csv,
cotinine,486-56-6,POL,Poland,POL,NA,5.707,µg/g crt,2011/09/01-2012/04/24,NA,0.8,Human (Urine),urine,statistic,Geometric Mean,119,36.10%,3.34-9.751,representative,NA,NA,NA,mothers,age,6.075,3.557-10.375,NA,2020,Democophes_Aggregate.csv,
cotinine,486-56-6,PRT,Portugal,PRT,NA,9.094,µg/g crt,2011/09/01-2012/04/24,NA,0.7,Human (Urine),urine,statistic,Geometric Mean,117,35.00%,5.326-15.527,representative,NA,NA,NA,mothers,age,9.15,5.358-15.625,NA,2020,Democophes_Aggregate.csv,
cotinine,486-56-6,ROU,Romania,ROU,NA,12.31,µg/g crt,2011/09/01-2012/04/24,NA,0.7,Human (Urine),urine,statistic,Geometric Mean,117,18.80%,7.177-21.114,representative,NA,NA,NA,mothers,age,13.639,7.986-23.292,NA,2020,Democophes_Aggregate.csv,
cotinine,486-56-6,SWE,Sweden,SWE,NA,1.645,µg/g crt,2011/09/01-2012/04/24,NA,0.3,Human (Urine),urine,statistic,Geometric Mean,96,59.40%,0.963-2.81,representative,NA,NA,NA,mothers,age,1.575,0.922-2.69,NA,2020,Democophes_Aggregate.csv,
cotinine,486-56-6,SVN,Slovenia,SVN,NA,1.437,µg/g crt,2011/09/01-2012/04/24,NA,0.7,Human (Urine),urine,statistic,Geometric Mean,119,59.70%,0.842-2.456,representative,NA,NA,NA,mothers,age,1.356,0.794-2.315,NA,2020,Democophes_Aggregate.csv,
cotinine,486-56-6,SVK,Slovakia,SVK,NA,2.363,µg/g crt,2011/09/01-2012/04/24,NA,0.3,Human (Urine),urine,statistic,Geometric Mean,125,0.00%,1.384-4.034,representative,NA,NA,NA,mothers,age,2.434,1.425-4.157,NA,2020,Democophes_Aggregate.csv,
cotinine,486-56-6,GBR,United Kingdom,GBR,NA,0.773,µg/g crt,2011/09/01-2012/04/24,NA,1.2,Human (Urine),urine,statistic,Geometric Mean,21,90.50%,0.448-1.335,representative,NA,NA,NA,mothers,age,0.68,0.398-1.161,NA,2020,Democophes_Aggregate.csv,
cadmium,7440-43-9,BEL,Belgium,BEL,NA,0.046,µg/L,2011/09/01-2012/04/24,NA,0.01,Human (Urine),urine,statistic,Geometric Mean,125,13.60%,0.04-0.052,representative,NA,NA,NA,children,"age, gender, crt",0.044,0.039-0.05,NA,2020,Democophes_Aggregate.csv,
cadmium,7440-43-9,CHE,Switzerland,CHE,NA,0.081,µg/L,2011/09/01-2012/04/24,NA,0.07,Human (Urine),urine,statistic,Geometric Mean,119,31.90%,0.071-0.092,representative,NA,NA,NA,children,"age, gender, crt",0.076,0.067-0.087,NA,2020,Democophes_Aggregate.csv,
cadmium,7440-43-9,CYP,Cyprus,CYP,NA,0.114,µg/L,2011/09/01-2012/04/24,NA,0.2,Human (Urine),urine,statistic,Geometric Mean,60,91.70%,0.096-0.137,representative,NA,NA,NA,children,"age, gender, crt",0.108,0.09-0.13,NA,2020,Democophes_Aggregate.csv,
cadmium,7440-43-9,CZE,Czech Republic,CZE,NA,0.117,µg/L,2011/09/01-2012/04/24,NA,0.05,Human (Urine),urine,statistic,Geometric Mean,120,8.30%,0.104-0.133,representative,NA,NA,NA,children,"age, gender, crt",0.109,0.096-0.124,NA,2020,Democophes_Aggregate.csv,
cadmium,7440-43-9,DNK,Denmark,DNK,NA,0.024,µg/L,2011/09/01-2012/04/24,NA,0.025,Human (Urine),urine,statistic,Geometric Mean,142,66.90%,0.021-0.027,representative,NA,NA,NA,children,"age, gender, crt",0.021,0.019-0.024,NA,2020,Democophes_Aggregate.csv,
cadmium,7440-43-9,ESP,Spain,ESP,NA,0.047,µg/L,2011/09/01-2012/04/24,NA,0.025,Human (Urine),urine,statistic,Geometric Mean,119,26.90%,0.041-0.053,representative,NA,NA,NA,children,"age, gender, crt",0.042,0.037-0.048,NA,2020,Democophes_Aggregate.csv,
cadmium,7440-43-9,HUN,Hungary,HUN,NA,0.129,µg/L,2011/09/01-2012/04/24,NA,0.1,Human (Urine),urine,statistic,Geometric Mean,117,29.90%,0.113-0.146,representative,NA,NA,NA,children,"age, gender, crt",0.132,0.116-0.15,NA,2020,Democophes_Aggregate.csv,
cadmium,7440-43-9,IRL,Ireland,IRL,NA,0.068,µg/L,2011/09/01-2012/04/24,NA,0.064,Human (Urine),urine,statistic,Geometric Mean,120,44.20%,0.06-0.077,representative,NA,NA,NA,children,"age, gender, crt",0.066,0.058-0.075,NA,2020,Democophes_Aggregate.csv,
cadmium,7440-43-9,LUX,Luxembourg,LUX,NA,0.154,µg/L,2011/09/01-2012/04/24,NA,0.05,Human (Urine),urine,statistic,Geometric Mean,59,0.00%,0.129-0.184,representative,NA,NA,NA,children,"age, gender, crt",0.144,0.119-0.173,NA,2020,Democophes_Aggregate.csv,
cadmium,7440-43-9,POL,Poland,POL,NA,0.134,µg/L,2011/09/01-2012/04/24,NA,0.012,Human (Urine),urine,statistic,Geometric Mean,115,0.00%,0.118-0.152,representative,NA,NA,NA,children,"age, gender, crt",0.126,0.111-0.144,NA,2020,Democophes_Aggregate.csv,
cadmium,7440-43-9,PRT,Portugal,PRT,NA,0.045,µg/L,2011/09/01-2012/04/24,NA,0.01,Human (Urine),urine,statistic,Geometric Mean,116,12.10%,0.039-0.051,representative,NA,NA,NA,children,"age, gender, crt",0.039,0.034-0.045,NA,2020,Democophes_Aggregate.csv,
cadmium,7440-43-9,ROU,Romania,ROU,NA,0.026,µg/L,2011/09/01-2012/04/24,NA,0.051,Human (Urine),urine,statistic,Geometric Mean,119,95.00%,0.023-0.029,representative,NA,NA,NA,children,"age, gender, crt",0.027,0.024-0.031,NA,2020,Democophes_Aggregate.csv,
cadmium,7440-43-9,SWE,Sweden,SWE,NA,0.09,µg/L,2011/09/01-2012/04/24,NA,0.001,Human (Urine),urine,statistic,Geometric Mean,99,0.00%,0.079-0.103,representative,NA,NA,NA,children,"age, gender, crt",0.078,0.068-0.089,NA,2020,Democophes_Aggregate.csv,
cadmium,7440-43-9,SVN,Slovenia,SVN,NA,0.077,µg/L,2011/09/01-2012/04/24,NA,0.06,Human (Urine),urine,statistic,Geometric Mean,120,35.80%,0.068-0.087,representative,NA,NA,NA,children,"age, gender, crt",0.081,0.071-0.092,NA,2020,Democophes_Aggregate.csv,
cadmium,7440-43-9,SVK,Slovakia,SVK,NA,0.144,µg/L,2011/09/01-2012/04/24,NA,0.05,Human (Urine),urine,statistic,Geometric Mean,127,2.40%,0.127-0.163,representative,NA,NA,NA,children,"age, gender, crt",0.149,0.131-0.17,NA,2020,Democophes_Aggregate.csv,
cadmium,7440-43-9,GBR,United Kingdom,GBR,NA,0.167,µg/L,2011/09/01-2012/04/24,NA,0.01,Human (Urine),urine,statistic,Geometric Mean,21,0.00%,0.147-0.191,representative,NA,NA,NA,children,"age, gender, crt",0.144,0.126-0.164,NA,2020,Democophes_Aggregate.csv,
cadmium,7440-43-9,BEL,Belgium,BEL,NA,0.224,µg/L,2011/09/01-2012/04/24,NA,0.01,Human (Urine),urine,statistic,Geometric Mean,125,0.80%,0.197-0.255,representative,NA,NA,NA,mothers,"age, smoking, crt",0.205,0.177-0.238,NA,2020,Democophes_Aggregate.csv,
cadmium,7440-43-9,CHE,Switzerland,CHE,NA,0.224,µg/L,2011/09/01-2012/04/24,NA,0.07,Human (Urine),urine,statistic,Geometric Mean,117,6.00%,0.197-0.255,representative,NA,NA,NA,mothers,"age, smoking, crt",0.189,0.163-0.219,NA,2020,Democophes_Aggregate.csv,
cadmium,7440-43-9,CYP,Cyprus,CYP,NA,0.183,µg/L,2011/09/01-2012/04/24,NA,0.2,Human (Urine),urine,statistic,Geometric Mean,59,52.50%,0.153-0.219,representative,NA,NA,NA,mothers,"age, smoking, crt",0.182,0.148-0.224,NA,2020,Democophes_Aggregate.csv,
cadmium,7440-43-9,CZE,Czech Republic,CZE,NA,0.259,µg/L,2011/09/01-2012/04/24,NA,0.05,Human (Urine),urine,statistic,Geometric Mean,117,0.90%,0.228-0.295,representative,NA,NA,NA,mothers,"age, smoking, crt",0.227,0.196-0.263,NA,2020,Democophes_Aggregate.csv,
cadmium,7440-43-9,DNK,Denmark,DNK,NA,0.132,µg/L,2011/09/01-2012/04/24,NA,0.025,Human (Urine),urine,statistic,Geometric Mean,142,8.50%,0.116-0.15,representative,NA,NA,NA,mothers,"age, smoking, crt",0.115,0.099-0.133,NA,2020,Democophes_Aggregate.csv,
cadmium,7440-43-9,ESP,Spain,ESP,NA,0.212,µg/L,2011/09/01-2012/04/24,NA,0.025,Human (Urine),urine,statistic,Geometric Mean,118,1.70%,0.187-0.241,representative,NA,NA,NA,mothers,"age, smoking, crt",0.23,0.198-0.266,NA,2020,Democophes_Aggregate.csv,
cadmium,7440-43-9,HUN,Hungary,HUN,NA,0.183,µg/L,2011/09/01-2012/04/24,NA,0.1,Human (Urine),urine,statistic,Geometric Mean,115,19.10%,0.161-0.207,representative,NA,NA,NA,mothers,"age, smoking, crt",0.188,0.162-0.217,NA,2020,Democophes_Aggregate.csv,
cadmium,7440-43-9,IRL,Ireland,IRL,NA,0.296,µg/L,2011/09/01-2012/04/24,NA,0.064,Human (Urine),urine,statistic,Geometric Mean,120,4.20%,0.261-0.336,representative,NA,NA,NA,mothers,"age, smoking, crt",0.314,0.271-0.363,NA,2020,Democophes_Aggregate.csv,
cadmium,7440-43-9,LUX,Luxembourg,LUX,NA,0.249,µg/L,2011/09/01-2012/04/24,NA,0.05,Human (Urine),urine,statistic,Geometric Mean,56,0.00%,0.208-0.298,representative,NA,NA,NA,mothers,"age, smoking, crt",0.2,0.162-0.246,NA,2020,Democophes_Aggregate.csv,
cadmium,7440-43-9,POL,Poland,POL,NA,0.453,µg/L,2011/09/01-2012/04/24,NA,0.012,Human (Urine),urine,statistic,Geometric Mean,119,0.00%,0.399-0.514,representative,NA,NA,NA,mothers,"age, smoking, crt",0.416,0.359-0.482,NA,2020,Democophes_Aggregate.csv,
cadmium,7440-43-9,PRT,Portugal,PRT,NA,0.186,µg/L,2011/09/01-2012/04/24,NA,0.01,Human (Urine),urine,statistic,Geometric Mean,117,0.90%,0.164-0.211,representative,NA,NA,NA,mothers,"age, smoking, crt",0.201,0.174-0.233,NA,2020,Democophes_Aggregate.csv,
cadmium,7440-43-9,ROU,Romania,ROU,NA,0.187,µg/L,2011/09/01-2012/04/24,NA,0.051,Human (Urine),urine,statistic,Geometric Mean,117,16.20%,0.164-0.212,representative,NA,NA,NA,mothers,"age, smoking, crt",0.192,0.165-0.222,NA,2020,Democophes_Aggregate.csv,
cadmium,7440-43-9,SWE,Sweden,SWE,NA,0.175,µg/L,2011/09/01-2012/04/24,NA,0.001,Human (Urine),urine,statistic,Geometric Mean,98,0.00%,0.154-0.199,representative,NA,NA,NA,mothers,"age, smoking, crt",0.147,0.127-0.17,NA,2020,Democophes_Aggregate.csv,
cadmium,7440-43-9,SVN,Slovenia,SVN,NA,0.289,µg/L,2011/09/01-2012/04/24,NA,0.06,Human (Urine),urine,statistic,Geometric Mean,119,2.50%,0.255-0.329,representative,NA,NA,NA,mothers,"age, smoking, crt",0.298,0.257-0.345,NA,2020,Democophes_Aggregate.csv,
cadmium,7440-43-9,SVK,Slovakia,SVK,NA,0.306,µg/L,2011/09/01-2012/04/24,NA,0.05,Human (Urine),urine,statistic,Geometric Mean,125,0.00%,0.269-0.348,representative,NA,NA,NA,mothers,"age, smoking, crt",0.294,0.254-0.341,NA,2020,Democophes_Aggregate.csv,
cadmium,7440-43-9,GBR,United Kingdom,GBR,NA,0.267,µg/L,2011/09/01-2012/04/24,NA,0.01,Human (Urine),urine,statistic,Geometric Mean,21,0.00%,0.234-0.304,representative,NA,NA,NA,mothers,"age, smoking, crt",0.244,0.211-0.283,NA,2020,Democophes_Aggregate.csv,
cadmium,7440-43-9,BEL,Belgium,BEL,NA,0.039,µg/g crt,2011/09/01-2012/04/24,NA,0.01,Human (Urine),urine,statistic,Geometric Mean,125,13.60%,0.035-0.045,representative,NA,NA,NA,children,"age, gender",0.039,0.035-0.045,NA,2020,Democophes_Aggregate.csv,
cadmium,7440-43-9,CHE,Switzerland,CHE,NA,0.073,µg/g crt,2011/09/01-2012/04/24,NA,0.07,Human (Urine),urine,statistic,Geometric Mean,119,31.90%,0.064-0.084,representative,NA,NA,NA,children,"age, gender",0.073,0.065-0.083,NA,2020,Democophes_Aggregate.csv,
cadmium,7440-43-9,CYP,Cyprus,CYP,NA,0.102,µg/g crt,2011/09/01-2012/04/24,NA,0.2,Human (Urine),urine,statistic,Geometric Mean,60,91.70%,0.085-0.123,representative,NA,NA,NA,children,"age, gender",0.103,0.086-0.123,NA,2020,Democophes_Aggregate.csv,
cadmium,7440-43-9,CZE,Czech Republic,CZE,NA,0.111,µg/g crt,2011/09/01-2012/04/24,NA,0.05,Human (Urine),urine,statistic,Geometric Mean,120,8.30%,0.097-0.126,representative,NA,NA,NA,children,"age, gender",0.111,0.098-0.126,NA,2020,Democophes_Aggregate.csv,
cadmium,7440-43-9,DNK,Denmark,DNK,NA,0.023,µg/g crt,2011/09/01-2012/04/24,NA,0.025,Human (Urine),urine,statistic,Geometric Mean,142,66.90%,0.02-0.026,representative,NA,NA,NA,children,"age, gender",0.022,0.02-0.025,NA,2020,Democophes_Aggregate.csv,
cadmium,7440-43-9,ESP,Spain,ESP,NA,0.045,µg/g crt,2011/09/01-2012/04/24,NA,0.025,Human (Urine),urine,statistic,Geometric Mean,119,26.90%,0.04-0.052,representative,NA,NA,NA,children,"age, gender",0.046,0.04-0.052,NA,2020,Democophes_Aggregate.csv,
cadmium,7440-43-9,HUN,Hungary,HUN,NA,0.115,µg/g crt,2011/09/01-2012/04/24,NA,0.1,Human (Urine),urine,statistic,Geometric Mean,117,29.90%,0.101-0.131,representative,NA,NA,NA,children,"age, gender",0.117,0.103-0.132,NA,2020,Democophes_Aggregate.csv,
cadmium,7440-43-9,IRL,Ireland,IRL,NA,0.061,µg/g crt,2011/09/01-2012/04/24,NA,0.064,Human (Urine),urine,statistic,Geometric Mean,120,44.20%,0.053-0.069,representative,NA,NA,NA,children,"age, gender",0.061,0.054-0.069,NA,2020,Democophes_Aggregate.csv,
cadmium,7440-43-9,LUX,Luxembourg,LUX,NA,0.143,µg/g crt,2011/09/01-2012/04/24,NA,0.05,Human (Urine),urine,statistic,Geometric Mean,59,0.00%,0.119-0.171,representative,NA,NA,NA,children,"age, gender",0.143,0.12-0.171,NA,2020,Democophes_Aggregate.csv,
cadmium,7440-43-9,POL,Poland,POL,NA,0.128,µg/g crt,2011/09/01-2012/04/24,NA,0.012,Human (Urine),urine,statistic,Geometric Mean,115,0.00%,0.113-0.146,representative,NA,NA,NA,children,"age, gender",0.129,0.114-0.147,NA,2020,Democophes_Aggregate.csv,
cadmium,7440-43-9,PRT,Portugal,PRT,NA,0.043,µg/g crt,2011/09/01-2012/04/24,NA,0.01,Human (Urine),urine,statistic,Geometric Mean,116,12.10%,0.038-0.049,representative,NA,NA,NA,children,"age, gender",0.044,0.039-0.05,NA,2020,Democophes_Aggregate.csv,
cadmium,7440-43-9,ROU,Romania,ROU,NA,0.023,µg/g crt,2011/09/01-2012/04/24,NA,0.051,Human (Urine),urine,statistic,Geometric Mean,119,95.00%,0.021-0.027,representative,NA,NA,NA,children,"age, gender",0.024,0.021-0.027,NA,2020,Democophes_Aggregate.csv,
cadmium,7440-43-9,SWE,Sweden,SWE,NA,0.088,µg/g crt,2011/09/01-2012/04/24,NA,0.001,Human (Urine),urine,statistic,Geometric Mean,99,0.00%,0.077-0.1,representative,NA,NA,NA,children,"age, gender",0.088,0.077-0.099,NA,2020,Democophes_Aggregate.csv,
cadmium,7440-43-9,SVN,Slovenia,SVN,NA,0.067,µg/g crt,2011/09/01-2012/04/24,NA,0.06,Human (Urine),urine,statistic,Geometric Mean,120,35.80%,0.059-0.076,representative,NA,NA,NA,children,"age, gender",0.067,0.059-0.076,NA,2020,Democophes_Aggregate.csv,
cadmium,7440-43-9,SVK,Slovakia,SVK,NA,0.122,µg/g crt,2011/09/01-2012/04/24,NA,0.05,Human (Urine),urine,statistic,Geometric Mean,127,2.40%,0.107-0.139,representative,NA,NA,NA,children,"age, gender",0.123,0.108-0.139,NA,2020,Democophes_Aggregate.csv,
cadmium,7440-43-9,GBR,United Kingdom,GBR,NA,0.159,µg/g crt,2011/09/01-2012/04/24,NA,0.01,Human (Urine),urine,statistic,Geometric Mean,21,0.00%,0.14-0.182,representative,NA,NA,NA,children,"age, gender",0.16,0.141-0.181,NA,2020,Democophes_Aggregate.csv,
cadmium,7440-43-9,BEL,Belgium,BEL,NA,0.194,µg/g crt,2011/09/01-2012/04/24,NA,0.01,Human (Urine),urine,statistic,Geometric Mean,125,0.80%,0.171-0.219,representative,NA,NA,NA,mothers,"age, smoking",0.183,0.162-0.207,NA,2020,Democophes_Aggregate.csv,
cadmium,7440-43-9,CHE,Switzerland,CHE,NA,0.205,µg/g crt,2011/09/01-2012/04/24,NA,0.07,Human (Urine),urine,statistic,Geometric Mean,117,6.00%,0.181-0.232,representative,NA,NA,NA,mothers,"age, smoking",0.196,0.173-0.221,NA,2020,Democophes_Aggregate.csv,
cadmium,7440-43-9,CYP,Cyprus,CYP,NA,0.165,µg/g crt,2011/09/01-2012/04/24,NA,0.2,Human (Urine),urine,statistic,Geometric Mean,59,52.50%,0.139-0.197,representative,NA,NA,NA,mothers,"age, smoking",0.157,0.132-0.187,NA,2020,Democophes_Aggregate.csv,
cadmium,7440-43-9,CZE,Czech Republic,CZE,NA,0.235,µg/g crt,2011/09/01-2012/04/24,NA,0.05,Human (Urine),urine,statistic,Geometric Mean,117,0.90%,0.208-0.266,representative,NA,NA,NA,mothers,"age, smoking",0.213,0.189-0.242,NA,2020,Democophes_Aggregate.csv,
cadmium,7440-43-9,DNK,Denmark,DNK,NA,0.119,µg/g crt,2011/09/01-2012/04/24,NA,0.025,Human (Urine),urine,statistic,Geometric Mean,142,8.50%,0.105-0.135,representative,NA,NA,NA,mothers,"age, smoking",0.118,0.104-0.134,NA,2020,Democophes_Aggregate.csv,
cadmium,7440-43-9,ESP,Spain,ESP,NA,0.196,µg/g crt,2011/09/01-2012/04/24,NA,0.025,Human (Urine),urine,statistic,Geometric Mean,118,1.70%,0.173-0.222,representative,NA,NA,NA,mothers,"age, smoking",0.215,0.19-0.243,NA,2020,Democophes_Aggregate.csv,
cadmium,7440-43-9,HUN,Hungary,HUN,NA,0.159,µg/g crt,2011/09/01-2012/04/24,NA,0.1,Human (Urine),urine,statistic,Geometric Mean,115,19.10%,0.141-0.18,representative,NA,NA,NA,mothers,"age, smoking",0.15,0.133-0.17,NA,2020,Democophes_Aggregate.csv,
cadmium,7440-43-9,IRL,Ireland,IRL,NA,0.265,µg/g crt,2011/09/01-2012/04/24,NA,0.064,Human (Urine),urine,statistic,Geometric Mean,120,4.20%,0.235-0.3,representative,NA,NA,NA,mothers,"age, smoking",0.268,0.237-0.303,NA,2020,Democophes_Aggregate.csv,
cadmium,7440-43-9,LUX,Luxembourg,LUX,NA,0.231,µg/g crt,2011/09/01-2012/04/24,NA,0.05,Human (Urine),urine,statistic,Geometric Mean,56,0.00%,0.194-0.275,representative,NA,NA,NA,mothers,"age, smoking",0.215,0.18-0.256,NA,2020,Democophes_Aggregate.csv,
cadmium,7440-43-9,POL,Poland,POL,NA,0.408,µg/g crt,2011/09/01-2012/04/24,NA,0.012,Human (Urine),urine,statistic,Geometric Mean,119,0.00%,0.361-0.461,representative,NA,NA,NA,mothers,"age, smoking",0.379,0.334-0.429,NA,2020,Democophes_Aggregate.csv,
cadmium,7440-43-9,PRT,Portugal,PRT,NA,0.16,µg/g crt,2011/09/01-2012/04/24,NA,0.01,Human (Urine),urine,statistic,Geometric Mean,117,0.90%,0.142-0.181,representative,NA,NA,NA,mothers,"age, smoking",0.161,0.143-0.183,NA,2020,Democophes_Aggregate.csv,
cadmium,7440-43-9,ROU,Romania,ROU,NA,0.16,µg/g crt,2011/09/01-2012/04/24,NA,0.051,Human (Urine),urine,statistic,Geometric Mean,117,16.20%,0.142-0.181,representative,NA,NA,NA,mothers,"age, smoking",0.149,0.132-0.169,NA,2020,Democophes_Aggregate.csv,
cadmium,7440-43-9,SWE,Sweden,SWE,NA,0.152,µg/g crt,2011/09/01-2012/04/24,NA,0.001,Human (Urine),urine,statistic,Geometric Mean,98,0.00%,0.134-0.173,representative,NA,NA,NA,mothers,"age, smoking",0.139,0.123-0.157,NA,2020,Democophes_Aggregate.csv,
cadmium,7440-43-9,SVN,Slovenia,SVN,NA,0.244,µg/g crt,2011/09/01-2012/04/24,NA,0.06,Human (Urine),urine,statistic,Geometric Mean,119,2.50%,0.216-0.276,representative,NA,NA,NA,mothers,"age, smoking",0.231,0.204-0.262,NA,2020,Democophes_Aggregate.csv,
cadmium,7440-43-9,SVK,Slovakia,SVK,NA,0.261,µg/g crt,2011/09/01-2012/04/24,NA,0.05,Human (Urine),urine,statistic,Geometric Mean,125,0.00%,0.231-0.296,representative,NA,NA,NA,mothers,"age, smoking",0.239,0.211-0.271,NA,2020,Democophes_Aggregate.csv,
cadmium,7440-43-9,GBR,United Kingdom,GBR,NA,0.241,µg/g crt,2011/09/01-2012/04/24,NA,0.01,Human (Urine),urine,statistic,Geometric Mean,21,0.00%,0.212-0.274,representative,NA,NA,NA,mothers,"age, smoking",0.234,0.207-0.265,NA,2020,Democophes_Aggregate.csv,
di(2-ethylhexyl)phthalate metabolites,117-81-7,BEL,Belgium,BEL,NA,37.277,µg/L,2011/09/01-2012/04/24,NA,0.7,Human (Urine),urine,statistic,Geometric Mean,125,4.80%,32.895-42.242,representative,NA,NA,NA,children,"age, gender, crt",36.719,32.056-42.061,NA,2020,Democophes_Aggregate.csv,
di(2-ethylhexyl)phthalate metabolites,117-81-7,CHE,Switzerland,CHE,NA,28.15,µg/L,2011/09/01-2012/04/24,NA,19.3,Human (Urine),urine,statistic,Geometric Mean,119,85.70%,24.852-31.885,representative,NA,NA,NA,children,"age, gender, crt",26.861,23.45-30.769,NA,2020,Democophes_Aggregate.csv,
di(2-ethylhexyl)phthalate metabolites,117-81-7,CYP,Cyprus,CYP,NA,25.006,µg/L,2011/09/01-2012/04/24,NA,6.7,Human (Urine),urine,statistic,Geometric Mean,60,46.70%,20.963-29.828,representative,NA,NA,NA,children,"age, gender, crt",23.784,19.628-28.82,NA,2020,Democophes_Aggregate.csv,
di(2-ethylhexyl)phthalate metabolites,117-81-7,CZE,Czech Republic,CZE,NA,71.081,µg/L,2011/09/01-2012/04/24,NA,2.85,Human (Urine),urine,statistic,Geometric Mean,120,27.50%,62.741-80.53,representative,NA,NA,NA,children,"age, gender, crt",65.694,57.351-75.25,NA,2020,Democophes_Aggregate.csv,
di(2-ethylhexyl)phthalate metabolites,117-81-7,DEU,Germany,DEU,NA,39.546,µg/L,2011/09/01-2012/04/24,NA,0.9,Human (Urine),urine,statistic,Geometric Mean,120,6.70%,34.9-44.81,representative,NA,NA,NA,children,"age, gender, crt",39.168,34.194-44.866,NA,2020,Democophes_Aggregate.csv,
di(2-ethylhexyl)phthalate metabolites,117-81-7,DNK,Denmark,DNK,NA,40.921,µg/L,2011/09/01-2012/04/24,NA,1.72,Human (Urine),urine,statistic,Geometric Mean,142,4.20%,36.112-46.37,representative,NA,NA,NA,children,"age, gender, crt",37.336,32.595-42.767,NA,2020,Democophes_Aggregate.csv,
di(2-ethylhexyl)phthalate metabolites,117-81-7,ESP,Spain,ESP,NA,73.396,µg/L,2011/09/01-2012/04/24,NA,0.9,Human (Urine),urine,statistic,Geometric Mean,119,0.00%,64.734-83.218,representative,NA,NA,NA,children,"age, gender, crt",64.64,56.431-74.042,NA,2020,Democophes_Aggregate.csv,
di(2-ethylhexyl)phthalate metabolites,117-81-7,HUN,Hungary,HUN,NA,58.721,µg/L,2011/09/01-2012/04/24,NA,2.85,Human (Urine),urine,statistic,Geometric Mean,117,24.80%,51.843-66.513,representative,NA,NA,NA,children,"age, gender, crt",60.813,53.091-69.659,NA,2020,Democophes_Aggregate.csv,
di(2-ethylhexyl)phthalate metabolites,117-81-7,IRL,Ireland,IRL,NA,59.558,µg/L,2011/09/01-2012/04/24,NA,2,Human (Urine),urine,statistic,Geometric Mean,120,0.00%,52.577-67.466,representative,NA,NA,NA,children,"age, gender, crt",58.851,51.377-67.411,NA,2020,Democophes_Aggregate.csv,
di(2-ethylhexyl)phthalate metabolites,117-81-7,LUX,Luxembourg,LUX,NA,25.85,µg/L,2011/09/01-2012/04/24,NA,0.7,Human (Urine),urine,statistic,Geometric Mean,59,6.80%,21.677-30.825,representative,NA,NA,NA,children,"age, gender, crt",23.846,19.679-28.895,NA,2020,Democophes_Aggregate.csv,
di(2-ethylhexyl)phthalate metabolites,117-81-7,POL,Poland,POL,NA,76.399,µg/L,2011/09/01-2012/04/24,NA,0.7,Human (Urine),urine,statistic,Geometric Mean,115,2.60%,67.434-86.556,representative,NA,NA,NA,children,"age, gender, crt",71.682,62.579-82.108,NA,2020,Democophes_Aggregate.csv,
di(2-ethylhexyl)phthalate metabolites,117-81-7,PRT,Portugal,PRT,NA,48.175,µg/L,2011/09/01-2012/04/24,NA,0.7,Human (Urine),urine,statistic,Geometric Mean,116,0.90%,42.478-54.636,representative,NA,NA,NA,children,"age, gender, crt",41.917,36.594-48.015,NA,2020,Democophes_Aggregate.csv,
di(2-ethylhexyl)phthalate metabolites,117-81-7,ROU,Romania,ROU,NA,74.01,µg/L,2011/09/01-2012/04/24,NA,0.7,Human (Urine),urine,statistic,Geometric Mean,119,5.10%,65.358-83.808,representative,NA,NA,NA,children,"age, gender, crt",76.064,66.405-87.129,NA,2020,Democophes_Aggregate.csv,
di(2-ethylhexyl)phthalate metabolites,117-81-7,SWE,Sweden,SWE,NA,49.866,µg/L,2011/09/01-2012/04/24,NA,0.9,Human (Urine),urine,statistic,Geometric Mean,97,1.00%,43.942-56.588,representative,NA,NA,NA,children,"age, gender, crt",43.485,37.963-49.811,NA,2020,Democophes_Aggregate.csv,
